answer,qid
a lion a fat bull feeding a meadow his mouth he the royal feast he he him he his sharp horns,fables-02-21
a lion a fat bull feeding a meadow his mouth he the royal feast he he him he his sharp horns,fables-02-22
a lion his mouth,fables-02-23
Today the start of the G20 summit,blogs-01-1
Today the start of the G20 summit,blogs-01-2
of people who have different views on how to run the government they follow so they protest,blogs-01-3
there many leaders their a lot of people who have different views on how to run the government they follow so they protest,blogs-01-4
views the,blogs-01-5
There it,blogs-01-6
There a protest that happened along the street where I work it a bunch of people a riot,blogs-01-7
Police cars things,blogs-01-8
Police cars things cops,blogs-01-9
There a protest that happened along the street where I work it a bunch of people a riot,blogs-01-10
things gas and bean bag bullets the rioters they windows of stores,blogs-01-11
things gas and bean bag bullets the rioters they windows of stores,blogs-01-12
things gas and bean bag bullets the rioters they windows of stores,blogs-01-13
things gas and bean bag bullets,blogs-01-14
gas and bean bag bullets the rioters they windows of stores,blogs-01-15
since there are so many leaders coming together their are going to be a lot of people who have different views on how to run the government they follow so they protest ,blogs-01-16
there a protest that happened along the street where i work it a bunch of people a riot,blogs-01-17
police were in full riot gear to alleviate the violence ,blogs-01-18
things gas and bean bag bullets,blogs-01-19
there it,blogs-01-20
today,blogs-01-21
today,blogs-01-22
police cars things cops,blogs-01-23
gas and bean bag bullets the rioters they windows of stores,blogs-01-24
a fox,fables-04-1
A Fox a Stork dinner  at which the only fare provided was a large flat dish of soup,fables-04-2
to dinner  at which the only fare provided was a large flat dish of soup,fables-04-3
A Fox,fables-04-4
invited a Stork to dinner  at which the only fare provided was a large flat dish of soup,fables-04-5
Thus  while she enjoyed her dinner  the Fox sat by hungry and helpless  for it was impossible for him to reach the tempting contents of the vessel ,fables-04-6
it with great relish in vain of the savoury broth,fables-04-7
Thus  while she enjoyed her dinner  the Fox sat by hungry and helpless  for it was impossible for him to reach the tempting contents of the vessel ,fables-04-8
the fox it great relish the stork with her long bill vain the savoury broth,fables-04-9
the fox the stork with her long bill,fables-04-10
the stork him turn him a pitcher with a long and narrow neck  into which she could get her bill with ease,fables-04-11
A clever fox a stork to dine,fables-04-12
a stork to dinner  at which the only fare provided was a large flat dish of soup,fables-04-13
the fox the stork with her long bill,fables-04-14
the fox the stork with her long bill,fables-04-15
a fox a stork dinner  at which the only fare provided was a large flat dish of soup,fables-04-16
a fox,fables-04-17
I my underwear round my ankles the class the garment it what earth that,blogs-05-1
at my underwear round my ankles at the class at the garment of it what on earth that,blogs-05-2
round ankles,blogs-05-3
I my underwear round my ankles the class the garment it what earth that,blogs-05-4
The group of students,blogs-05-5
I my underwear round my ankles the class the garment it what earth that,blogs-05-6
i,blogs-05-7
I you one of my most embarassing moments as a teacher to date,blogs-05-8
the offending white -LRB- not red and black thank the Lord -RRB- slip and casually it in the bottom drawer of my desk,blogs-05-9
The narrator the ankle of the narrator,blogs-05-10
The narrator nervously looked toward the ankle of the narrator and observed that the slip had fallen because the elastic of the slip was dysfunctional ,blogs-05-11
one of my most embarassing moments as a teacher to date,blogs-05-12
ten years i a mixed class of 5th graders esl,blogs-05-13
so ahmed  what did you do in school today,blogs-05-14
i,blogs-05-15
one of my most embarassing moments as a teacher to date,blogs-05-16
we the teacher 's underwear,blogs-05-17
at the front of the class not on my face but at my ankles,blogs-05-18
so ahmed  what did you do in school today,blogs-05-19
 casually,blogs-05-20
a farmer,fables-05-1
for the fields for cutting,fables-05-2
It the Farmer,fables-05-3
HALP,fables-05-4
for him upon him of tow to his tail and set fire to it,fables-05-5
A Farmer,fables-05-6
It fire the Farmer all his harvest,fables-05-7
It the Farmer,fables-05-8
it fire the farmer all his harvest,fables-05-9
The fox,fables-05-10
a farmer,fables-05-11
a farmer was greatly annoyed by a fox  which came prowling about his yard at night and carried off his fowls ,fables-05-12
it fire the farmer all his harvest,fables-05-13
a fox  which came prowling about his yard at night and carried off his fowls,fables-05-14
ill-luck it the fox the fields the corn,fables-05-15
the fox,fables-05-16
years man,blogs-02-1
of the young man on the front yard of a narrator of the young man,blogs-02-2
i help,blogs-02-3
The young man died on the spot of the yard of the narrator ,blogs-02-4
of the young man on the front yard of a narrator of the young man,blogs-02-5
A young man the motorbike of the young man the front yard of a narrator the neck of the young man,blogs-02-6
it my brother playing around with his new flashlight all like it  but the closest thing I could imagine I the house everyone,blogs-02-7
years man,blogs-02-8
a young man,blogs-02-9
a young man,blogs-02-10
A young man the motorbike of the young man the front yard of a narrator the neck of the young man,blogs-02-11
I this I this ball of light the trees above me,blogs-02-12
a few years a young man my front lawn he his motorbike,blogs-02-13
of the young man on the front yard of a narrator of the young man,blogs-02-14
a young man,blogs-02-15
The young man,blogs-02-16
on my front lawn he his motorbike,blogs-02-17
my front lawn he his motorbike,blogs-02-18
my logical mind,blogs-02-19
i him his last moments there nothing i could do because he was badly injured with a broken neck,blogs-02-20
The bowl,blogs-04-1
We,blogs-04-2
We a large stainless steel bowl of water the back deck for Benjamin to drink out of when he 's playing outside,blogs-04-3
of it in it,blogs-04-4
squirrels,blogs-04-5
i a,blogs-04-6
This one of those times I wish I had a digital camera,blogs-04-7
those times,blogs-04-8
on the deck 's railing in order for the birds to wait,blogs-04-9
of water outside on the back deck for benjamin to drink out of when he 's playing outside,blogs-04-10
by in fright at what i believe was his own reflection in the bowl,blogs-04-11
throughout the day  many birds drink out of it and bathe in it ,blogs-04-12
we a large stainless steel bowl of water the back deck for benjamin to drink out of when he 's playing outside,blogs-04-13
throughout the day of it in it,blogs-04-14
we a large stainless steel bowl of water the back deck for benjamin to drink out of when he 's playing outside,blogs-04-15
a countryman,fables-03-1
An Eagle,fables-03-2
upon a Serpent it in his talons with the intention of carrying it off and devouring it,fables-03-3
a countryman,fables-03-4
An Eagle a Serpent it his talons the intention of carrying it off and devouring it,fables-03-5
In revenge the Serpent spat some of his poison into the man 's drinking-horn,fables-03-6
A countryman  who was a witness of the encounter  the assistance of the Eagle him the Serpent him,fables-03-7
the man,fables-03-8
his exertions the man his thirst a draught the horn  when the Eagle knocked it out of his hand  and spilled its contents upon the ground,fables-03-9
with his exertions with a draught from the horn  when the Eagle knocked it out of his hand  and spilled its contents upon the ground,fables-03-10
An Eagle a Serpent it his talons the intention of carrying it off and devouring it,fables-03-11
the Serpent spat some of his poison into the man 's drinking-horn,fables-03-12
an eagle,fables-03-13
the serpent,fables-03-14
the assistance of the eagle him the serpent him,fables-03-15
a countryman  who was a witness of the encounter ,fables-03-16
a countryman  who was a witness of the encounter  the assistance of the eagle him the serpent him,fables-03-17
a countryman  who was a witness of the encounter ,fables-03-18
to the assistance of the eagle in freeing him from the serpent and enabling him to escape,fables-03-19
revenge the serpent spat some of his poison into the man 's drinking-horn,fables-03-20
the man,fables-03-21
an eagle,fables-03-22
an eagle,fables-03-23
upon a serpent it in his talons with the intention of carrying it off and devouring it,fables-03-24
an eagle,fables-03-25
an eagle,fables-03-26
upon a serpent in his talons with the intention of carrying it off and devouring it,fables-03-27
She went to Miami to visit some friends ,mc500.train.0.1
Ellen a salad,mc500.train.0.2
kristin,mc500.train.0.3
from Atlanta,mc500.train.0.4
It a happy time for everyone,mc500.train.0.5
They stayed the night because they were tired ,mc500.train.0.6
the girls,mc500.train.0.7
alyssa,mc500.train.0.8
Alyssa the restaurant 's special,mc500.train.0.9
Alyssa her friends Kristin and Rachel Ellen 's house,mc500.train.0.10
to a restaurant for dinner,mc500.train.0.11
at Ellen 's house,mc500.train.0.12
ellen alyssa and they some lemonade to drink,mc500.train.0.13
went to a restaurant for dinner,mc500.train.0.14
yes,mc500.train.0.15
yes,mc500.train.0.16
to visit some friends,mc500.train.0.17
alyssa the beach a long trip,mc500.train.0.18
to the beach after a long trip,mc500.train.0.19
Ellen 's house to have fun,mc500.train.0.20
alyssa,mc500.train.0.21
after eating  the ladies went back to ellen 's house to have fun ,mc500.train.0.22
in Miami,mc500.train.0.23
at Ellen 's house,mc500.train.0.24
It Saturday afternoon Andrew,mc500.train.23.1
He TV all day,mc500.train.23.2
outside the window by the door,mc500.train.23.3
Andrew the window the newspaper the door,mc500.train.23.4
On the front of an elephant,mc500.train.23.5
TV all day,mc500.train.23.6
Andrew and his dad the story,mc500.train.23.7
in town,mc500.train.23.8
no,mc500.train.23.9
we Andrew 's dad you your goldfish,mc500.train.23.10
the people,mc500.train.23.11
Andrew and his dad lots of peanuts,mc500.train.23.12
to the circus,mc500.train.23.13
to the circus,mc500.train.23.14
a slide,mc500.train.23.15
andrew 's dad i the newspaper,mc500.train.23.16
in the newspaper,mc500.train.23.17
the elephant,mc500.train.23.18
the people and animals at the circus lots of tricks,mc500.train.23.19
he it some peanuts the circus for later,mc500.train.23.20
can said need to feed your goldfish,mc500.train.23.21
andrew and his dad,mc500.train.23.22
it saturday afternoon andrew,mc500.train.23.23
there were n't any peanuts left to bring home to the goldfish ,mc500.train.23.24
to her back yard,mc500.train.18.1
Kelly one morning her back yard,mc500.train.18.2
woke up one morning and went outside to her back yard,mc500.train.18.3
She her mom the biggest  most beautiful bunch of flowers her mother had ever seen,mc500.train.18.4
She a lot of different sized flowers,mc500.train.18.5
She a hurry it Mother 's Day she flowers her mom her a present,mc500.train.18.6
in her yard,mc500.train.18.7
After that in a secret spot,mc500.train.18.8
she was in a hurry because it was mother 's day and she had to collect flowers before her mom woke up to give to her as a present ,mc500.train.18.9
She a hurry it Mother 's Day she flowers her mom her a present,mc500.train.18.10
her mother 8:30 AM Kelly excited,mc500.train.18.11
She was in a hurry because it was Mother 's Day and she had to collect flowers before her mom woke up to give to her as a present ,mc500.train.18.12
The red ones the orange ones the green ones the middle,mc500.train.18.13
that she the flowers a secret spot,mc500.train.18.14
the red one,mc500.train.18.15
Her mother 's favorite the red one,mc500.train.18.16
kelly all of the flowers she them string,mc500.train.18.17
she a hurry it mother 's day she flowers her mom her a present,mc500.train.18.18
she her baby sister morgan  who was still in diapers  the flowers them,mc500.train.18.19
after that  she had to hide the flowers in a secret spot ,mc500.train.18.20
she was in a hurry because it was mother 's day and she had to collect flowers before her mom woke up to give to her as a present ,mc500.train.18.21
kelly all of the flowers she them string,mc500.train.18.22
in diapers,mc500.train.18.23
a hurry it mother 's day flowers her mom her a present,mc500.train.18.24
in a hurry to her as a present,mc500.train.18.25
to hide the flowers in a secret spot,mc500.train.18.26
in a beautiful pond by the river,mc500.train.25.0
in a beautiful pond by the river,mc500.train.25.1
her friends martin  edgar  and cindy baths,mc500.train.25.2
her friends,mc500.train.25.3
HALP,mc500.train.111.0
a good laugh at a very silly looking dog,mc500.train.111.1
it thunder,mc500.train.111.2
a biscuit,mc500.train.111.3
over to the living room,mc500.train.111.4
in the night sky,mc500.train.111.5
