answer,qid
They stayed the night because they were tired .,mc500.train.0.6
girls,mc500.train.0.7
alyssa,mc500.train.0.8
The restaurant a special on catfish,mc500.train.0.9
Alyssa her friends Kristin and Rachel Ellen 's house,mc500.train.0.10
to a restaurant for dinner,mc500.train.0.11
at Ellen 's house,mc500.train.0.12
ellen alyssa and they some lemonade to drink,mc500.train.0.13
went to a restaurant for dinner,mc500.train.0.14
yes,mc500.train.0.15
yes,mc500.train.0.16
It Saturday afternoon Andrew,mc500.train.23.1
He TV all day,mc500.train.23.2
outside the window by the door,mc500.train.23.3
Andrew the window the newspaper the door,mc500.train.23.4
On the front of an elephant,mc500.train.23.5
TV day,mc500.train.23.6
Andrew and his dad the story,mc500.train.23.7
in town,mc500.train.23.8
no,mc500.train.23.9
we Andrew 's dad you your goldfish,mc500.train.23.10
people,mc500.train.23.11
Andrew 's dad I the newspaper,mc500.train.23.12
of fun at the circus,mc500.train.23.13
to the circus,mc500.train.23.14
The elephant a slide,mc500.train.23.15
andrew 's dad i the newspaper,mc500.train.23.16
in the newspaper,mc500.train.23.17
the elephant a slide,mc500.train.23.18
the people and animals at the circus lots of tricks,mc500.train.23.19
he it some peanuts the circus for later,mc500.train.23.20
can said first need to feed your goldfish,mc500.train.23.21
andrew and his dad lots of peanuts,mc500.train.23.22
to her back yard,mc500.train.18.1
Kelly one morning her back yard,mc500.train.18.2
woke up one morning and went outside to her back yard,mc500.train.18.3
"She her mom the biggest , most beautiful bunch of flowers her mother had ever seen",mc500.train.18.4
Kelly one morning her back yard,mc500.train.18.5
She a hurry it Mother 's Day she flowers her mom her a present,mc500.train.18.6
in her yard,mc500.train.18.7
After that in a secret spot,mc500.train.18.8
She was in a hurry because it was Mother 's Day and she had to collect flowers before her mom woke up to give to her as a present .,mc500.train.18.9
She a hurry it Mother 's Day she flowers her mom her a present,mc500.train.18.10
excited,mc500.train.18.11
She was in a hurry because it was Mother 's Day and she had to collect flowers before her mom woke up to give to her as a present .,mc500.train.18.12
The red ones big the orange ones small the green ones the middle,mc500.train.18.13
that she the flowers a secret spot,mc500.train.18.14
Her mother 's favorite the red one,mc500.train.18.15
Her mother 's favorite the red one,mc500.train.18.16
kelly all of the flowers she them string,mc500.train.18.17
she a hurry it mother 's day she flowers her mom her a present,mc500.train.18.18
"she her baby sister morgan , who was still in diapers , the flowers them",mc500.train.18.19
"after that , she had to hide the flowers in a secret spot .",mc500.train.18.20
she was in a hurry because it was mother 's day and she had to collect flowers before her mom woke up to give to her as a present .,mc500.train.18.21
