answer,qid
The narrator a group of cars the container of some gasoline,blogs-03-10
An area of a neighborhood of the narrator a large group of pine trees a group of oak trees,blogs-03-11
12:30 pm i my back patio i a large tree split two my neighbor 's yard,blogs-03-12
12:30 pm i my back patio i a large tree split two my neighbor 's yard,blogs-03-13
The narrator the first tree the house of the narrator the house of the narrator the family of the narrator,blogs-03-14
"my wife , our five children , and our dog , an area of the home we safest",blogs-03-15
Louisiana was adversely affected by Hurricane Gustav.,blogs-03-16
"Here's what happened to me and my family:
We watched the storm moving in all of last weekend on the Weather Channel and local news.",blogs-03-17
I went to Home Depot just in the nick of time to purchase a portable generator.,blogs-03-18
Louisiana was adversely affected by Hurricane Gustav.,blogs-03-19
I filled up my three SUVs and I filled up five five-gallon containers of gasoline.,blogs-03-20
The oven it 350 degrees broiler stuck ??,blogs-06-1
The oven it 350 degrees broiler stuck ??,blogs-06-2
door,blogs-06-3
The husband of the narrator the door of the oven the fire spreading,blogs-06-4
couple,blogs-06-5
The oven it 350 degrees broiler stuck ??,blogs-06-6
my husband a batch of cookies them flames,blogs-06-7
The oven it 350 degrees broiler stuck ??,blogs-06-8
"then we a plug-in burner , griddle , and counter top oven",blogs-06-9
the oven malfunctioned ... it was supposed to be baking at 350 degrees but somehow broiler came on and got stuck ??,blogs-06-10
of weeks in our old oven/range,blogs-06-11
he the oven door and the flames all the way the ceiling !!!,blogs-06-12
The husband of the narrator the door of the oven the fire spreading,blogs-06-13
my new range i a few days,blogs-06-14
my husband a batch of cookies them flames,blogs-06-15
A couple of weeks ago we had a fire in our old oven/range.,blogs-06-16
He tried to put the fire out unsuccessfully and then quickly shut the door to keep the fire from spreading.,blogs-06-17
The oven malfunctioned... it was supposed to be baking at 350 degrees but somehow broiler came on and got stuck??...,blogs-06-18
The oven malfunctioned... it was supposed to be baking at 350 degrees but somehow broiler came on and got stuck??...,blogs-06-19
a couple of weeks we a fire in our old oven/range,blogs-06-20
my husband went to get a batch of cookies and found them in flames.,blogs-06-21
He tried to put the fire out unsuccessfully and then quickly shut the door to keep the fire from spreading.,blogs-06-22
He opened the oven door and the flames shot all the way up to the ceiling!!!,blogs-06-23
Nothing got damaged besides the range but it took days of airing the house out and cleaning before things were 100% back to normal.,blogs-06-24
on a branch of a tree with a piece of cheese in her beak of getting the cheese,fables-01-1
Some cheese the beak of the crow,fables-01-2
A Crow a branch of a tree with a piece of cheese in her beak a Fox her his wits some way of getting the cheese,fables-01-3
was sitting on a branch of a tree with a piece of cheese in her beak when a Fox observed her and set his wits to work to discover some way of getting the cheese,fables-01-4
under the tree above me,fables-01-5
the tree he What a noble bird I see above me,fables-01-6
fox,fables-01-7
a crow a branch of a tree with a piece of cheese in her beak a fox her his wits some way of getting the cheese,fables-01-8
on a branch of a tree with a piece of cheese in her beak of getting the cheese,fables-01-9
a crow a branch of a tree with a piece of cheese in her beak a fox her his wits some way of getting the cheese,fables-01-10
a crow a branch of a tree with a piece of cheese in her beak a fox her his wits some way of getting the cheese,fables-01-11
The fox the beauty of the bird incomparable,fables-01-12
the crow flattered this the fox she she a loud caw,fables-01-13
A Crow was sitting on a branch of a tree with a piece of cheese in her beak when a Fox observed her and set his wits to work to discover some way of getting the cheese.,fables-01-14
A Crow was sitting on a branch of a tree with a piece of cheese in her beak when a Fox observed her and set his wits to work to discover some way of getting the cheese.,fables-01-15
A Crow was sitting on a branch of a tree with a piece of cheese in her beak when a Fox observed her and set his wits to work to discover some way of getting the cheese.,fables-01-16
A Crow was sitting on a branch of a tree with a piece of cheese in her beak when a Fox observed her and set his wits to work to discover some way of getting the cheese.,fables-01-17
A Crow was sitting on a branch of a tree with a piece of cheese in her beak when a Fox observed her and set his wits to work to discover some way of getting the cheese.,fables-01-18
lion,fables-02-1
bull,fables-02-2
in the world,fables-02-3
The bull grazing in a meadow,fables-02-4
lion,fables-02-5
What a fine head !,fables-02-6
"my dear friend , what in the world makes you those ugly horns",fables-02-7
bull,fables-02-8
What a fine head !,fables-02-9
The lion did n't attack the bull because the lion feared sharp every horn of the bull .,fables-02-10
What a fine head !,fables-02-11
"my dear friend , what in the world makes you those ugly horns",fables-02-12
a lion a fat bull feeding a meadow his mouth he the royal feast he he him he his sharp horns,fables-02-13
"a lion watched a fat bull feeding in a meadow , and his mouth watered when he thought of the royal feast he would make , but he did not dare to attack him , for he was afraid of his sharp horns .",fables-02-14
a lion a fat bull feeding a meadow his mouth he the royal feast he he him he afraid of his sharp horns,fables-02-15
"a lion watched a fat bull feeding in a meadow , and his mouth watered when he thought of the royal feast he would make , but he did not dare to attack him , for he was afraid of his sharp horns .",fables-02-16
a lion a fat bull feeding a meadow his mouth he the royal feast he he him he afraid of his sharp horns,fables-02-17
a lion a fat bull feeding a meadow his mouth he the royal feast he he him he his sharp horns,fables-02-18
"But, my dear friend, what in the world makes you wear those ugly horns?",fables-02-19
"But, my dear friend, what in the world makes you wear those ugly horns?",fables-02-20
What a fine head!,fables-02-21
What a fine head!,fables-02-22
"But, my dear friend, what in the world makes you wear those ugly horns?",fables-02-23
Today the start of the G20 summit,blogs-01-1
A summit meeting named G20 summit eventful today,blogs-01-2
of people who have different views on how to run the government they follow so they protest,blogs-01-3
there many leaders their a lot of people who have different views on how to run the government they follow so they protest,blogs-01-4
views,blogs-01-5
There a protest that happened along the street where I work it a bunch of people a riot,blogs-01-6
There a protest that happened along the street where I work it peaceful a bunch of people a riot,blogs-01-7
The people a police car a thing a police,blogs-01-8
Police cars things cops,blogs-01-9
There a protest that happened along the street where I work it peaceful a bunch of people a riot,blogs-01-10
things worse gas and bean bag bullets the rioters they windows of stores,blogs-01-11
things worse gas and bean bag bullets the rioters they windows of stores,blogs-01-12
Today a very eventful work day,blogs-01-13
The police a gas the people a bullet the people the people a window,blogs-01-14
things gas and bean bag bullets the rioters they windows of stores,blogs-01-15
since there are so many leaders coming together their are going to be a lot of people who have different views on how to run the government they follow so they protest .,blogs-01-16
there many leaders their a lot of people who have different views on how to run the government they follow so they protest,blogs-01-17
police were in full riot gear to alleviate the violence .,blogs-01-18
As things got worse tear gas and bean bag bullets were fired at the rioters while they smash windows of stores.,blogs-01-19
Today was a very eventful work day.,blogs-01-20
As things got worse tear gas and bean bag bullets were fired at the rioters while they smash windows of stores.,blogs-01-21
Today was a very eventful work day.,blogs-01-22
Today was a very eventful work day.,blogs-01-23
As things got worse tear gas and bean bag bullets were fired at the rioters while they smash windows of stores.,blogs-01-24
fox,fables-04-1
"A Fox a Stork dinner , at which the only fare provided was a large flat dish of soup",fables-04-2
"to dinner , at which the only fare provided was a large flat dish of soup",fables-04-3
"A Fox a Stork dinner , at which the only fare provided was a large flat dish of soup",fables-04-4
"invited a Stork to dinner , at which the only fare provided was a large flat dish of soup",fables-04-5
The fox began to be hungry and began to be helpless because he was n't able to reach some food that was in the pitcher .,fables-04-6
The stork the long bill of the stork the long and narrow neck of the pitcher,fables-04-7
"Thus , while she enjoyed her dinner , the Fox sat by hungry and helpless , for it was impossible for him to reach the tempting contents of the vessel .",fables-04-8
the fox it great relish the stork with her long bill vain the savoury broth,fables-04-9
the fox it great relish the stork with her long bill vain the savoury broth,fables-04-10
"the stork him turn him a pitcher with a long and narrow neck , into which she could get her bill with ease",fables-04-11
A clever fox a stork to dine,fables-04-12
"a fox a stork dinner , at which the only fare provided was a large flat dish of soup",fables-04-13
"The Fox lapped it up with great relish, but the Stork with her long bill tried in vain to partake of the savoury broth.",fables-04-14
"The Fox lapped it up with great relish, but the Stork with her long bill tried in vain to partake of the savoury broth.",fables-04-15
"A Fox invited a Stork to dinner, at which the only fare provided was a large flat dish of soup.",fables-04-16
"A Fox invited a Stork to dinner, at which the only fare provided was a large flat dish of soup.",fables-04-17
There a group of students and a narrator,blogs-05-1
There a group of students and a narrator,blogs-05-2
round,blogs-05-3
There a group of students and a narrator,blogs-05-4
The narrator the group of students,blogs-05-5
There a group of students and a narrator,blogs-05-6
i,blogs-05-7
I you one of my most embarassing moments as a teacher to date,blogs-05-8
the offending white -LRB- not red and black thank the Lord -RRB- slip and casually it in the bottom drawer of my desk,blogs-05-9
The narrator the slip,blogs-05-10
"The narrator was a teacher , owned some white slip and owned a desk .",blogs-05-11
The narrator bewilderment,blogs-05-12
ten years i a mixed class of 5th graders esl,blogs-05-13
i you one of my most embarassing moments as a teacher to date,blogs-05-14
later that day i they the day their parents over dinner,blogs-05-15
"So I looked at my underwear round my ankles, looked at the class, looked back at the garment, carefully stepped out of it, said, ""Oh dear look, what on earth can that be?",blogs-05-16
Elastic gone What to do?,blogs-05-17
I had taken the register and was standing at the front of the class doing some revision...,blogs-05-18
The narrator a teacher some white slip a desk,blogs-05-19
Elastic gone What to do?,blogs-05-20
farmer,fables-05-1
for the fields for cutting,fables-05-2
It fire the Farmer all his harvest,fables-05-3
HALP,fables-05-4
onto the tail of the fox and in order,fables-05-5
The agriculturist the fiber the fox,fables-05-6
"A Farmer greatly annoyed by a Fox , which came prowling about his yard at night and carried off his fowls",fables-05-7
It fire the Farmer all his harvest,fables-05-8
"a farmer greatly annoyed by a fox , which came prowling about his yard at night and carried off his fowls",fables-05-9
The agriculturist set a the fox,fables-05-10
"a farmer a fox , which came prowling about his yard at night and carried off his fowls",fables-05-11
The agriculturist began to be unlucky because the fox ran into a field .,fables-05-12
"a farmer greatly annoyed by a fox , which came prowling about his yard at night and carried off his fowls",fables-05-13
"A Farmer was greatly annoyed by a Fox, which came prowling about his yard at night and carried off his fowls.",fables-05-14
"A Farmer was greatly annoyed by a Fox, which came prowling about his yard at night and carried off his fowls.",fables-05-15
"A Farmer was greatly annoyed by a Fox, which came prowling about his yard at night and carried off his fowls.",fables-05-16
years,blogs-02-1
of the young man on the front yard of a narrator of the young man,blogs-02-2
i,blogs-02-3
The narrator later went back to the spot of the yard of the narrator and decided to talk to the young man because it wanted the young man to know the narrator regretting that it had not aided him .,blogs-02-4
of the young man on the front yard of a narrator of the young man,blogs-02-5
A young man the motorbike of the young man the front yard of a narrator the neck of the young man,blogs-02-6
"my logical mind it my brother playing around with his new flashlight all like it , but the closest thing I could imagine I the house everyone",blogs-02-7
years,blogs-02-8
A few years a young man my front lawn he his motorbike,blogs-02-9
A few years a young man my front lawn he his motorbike,blogs-02-10
The narrator the flash an orb,blogs-02-11
The narrator some bright flash a group of trees that was above the narrator,blogs-02-12
a few years a young man my front lawn he his motorbike,blogs-02-13
of the young man on the front yard of a narrator of the young man,blogs-02-14
A young man the motorbike of the young man the front yard of a narrator the neck of the young man,blogs-02-15
The narrator the spot of the yard of the narrator the young man it the young man the narrator regretting that it had not aided him,blogs-02-16
"A few years ago, a young man died out on my front lawn when he crashed his motorbike.",blogs-02-17
"A few years ago, a young man died out on my front lawn when he crashed his motorbike.",blogs-02-18
"At first, my logical mind thought that it was my brother playing around with his new flashlight (not at all like it, but the closest thing I could imagine)
And when I went inside the house, everyone was snoring!",blogs-02-19
"A few years ago, a young man died out on my front lawn when he crashed his motorbike.",blogs-02-20
We a large stainless steel bowl of water the back deck for Benjamin to drink out of when he 's playing outside,blogs-04-1
The squirrel the deck 's railing the squirrel the squirrel,blogs-04-2
The squirrel 's paw the deck 's railing,blogs-04-3
the day many birds it it,blogs-04-4
squirrels,blogs-04-5
i,blogs-04-6
This one of those times I wish I had a digital camera,blogs-04-7
times,blogs-04-8
on the railing,blogs-04-9
of water outside on the back deck for benjamin to drink out of when he 's playing outside,blogs-04-10
by in fright at what i believe was his own reflection in the bowl,blogs-04-11
"throughout the day , many birds drink out of it and bathe in it .",blogs-04-12
we a large stainless steel bowl of water the back deck for benjamin to drink out of when he 's playing outside,blogs-04-13
"Throughout the day, many birds drink out of it and bathe in it.",blogs-04-14
We keep a large stainless steel bowl of water outside on the back deck for Benjamin to drink out of when he's playing outside.,blogs-04-15
countryman,fables-03-1
An Eagle a Serpent it his talons the intention of carrying it off and devouring it,fables-03-2
An Eagle a Serpent it his talons the intention of carrying it off and devouring it,fables-03-3
countryman,fables-03-4
An Eagle a Serpent it his talons the intention of carrying it off and devouring it,fables-03-5
In revenge the Serpent spat some of his poison into the man 's drinking-horn,fables-03-6
"A countryman , who was a witness of the encounter , the assistance of the Eagle him the Serpent him",fables-03-7
The eagle the drinking vessel,fables-03-8
An eagle a serpent it order for he it,fables-03-9
"with his exertions with a draught from the horn , when the Eagle knocked it out of his hand , and spilled its contents upon the ground",fables-03-10
An Eagle a Serpent it his talons the intention of carrying it off and devouring it,fables-03-11
the Serpent spat some of his poison into the man 's drinking-horn,fables-03-12
an eagle a serpent it his talons the intention of carrying it off and devouring it,fables-03-13
the serpent him its coils him a moment there a life-and-death struggle between the two,fables-03-14
"a countryman , who was a witness of the encounter , the assistance of the eagle him the serpent him",fables-03-15
"a countryman , who was a witness of the encounter , the assistance of the eagle him the serpent him",fables-03-16
"a countryman , who was a witness of the encounter , the assistance of the eagle him the serpent him",fables-03-17
"a countryman , who was a witness of the encounter , the assistance of the eagle him the serpent him",fables-03-18
"a countryman , who was a witness of the encounter , the assistance of the eagle him the serpent him",fables-03-19
revenge the serpent spat some of his poison into the man 's drinking-horn,fables-03-20
"his exertions the man his thirst a draught the horn , when the eagle knocked it out of his hand , and spilled its contents upon the ground",fables-03-21
An Eagle swooped down upon a Serpent and seized it in his talons with the intention of carrying it off and devouring it.,fables-03-22
An Eagle swooped down upon a Serpent and seized it in his talons with the intention of carrying it off and devouring it.,fables-03-23
An Eagle swooped down upon a Serpent and seized it in his talons with the intention of carrying it off and devouring it.,fables-03-24
An Eagle swooped down upon a Serpent and seized it in his talons with the intention of carrying it off and devouring it.,fables-03-25
An Eagle swooped down upon a Serpent and seized it in his talons with the intention of carrying it off and devouring it.,fables-03-26
In revenge the Serpent spat some of his poison into the man's drinking-horn.,fables-03-27
She 's now in Miami .,mc500.train.0.1
swimming she her friend Ellen 's house,mc500.train.0.2
kristin,mc500.train.0.3
to the beach after a long trip,mc500.train.0.4
It a happy time for everyone,mc500.train.0.5
They stayed the night because they were tired .,mc500.train.0.6
girls,mc500.train.0.7
alyssa,mc500.train.0.8
Alyssa the restaurant 's special,mc500.train.0.9
Alyssa her friends Kristin and Rachel Ellen 's house,mc500.train.0.10
to a restaurant for dinner,mc500.train.0.11
at Ellen 's house,mc500.train.0.12
ellen alyssa and they some lemonade to drink,mc500.train.0.13
went to a restaurant for dinner,mc500.train.0.14
yes,mc500.train.0.15
yes,mc500.train.0.16
Alyssa got to the beach after a long trip.,mc500.train.0.17
Alyssa got to the beach after a long trip.,mc500.train.0.18
Alyssa got to the beach after a long trip.,mc500.train.0.19
Alyssa enjoyed the restaurant's special.,mc500.train.0.20
alyssa the beach a long trip,mc500.train.0.21
"after eating , the ladies went back to ellen 's house to have fun .",mc500.train.0.22
"But she wanted some time to herself at the beach, so she went there first.",mc500.train.0.23
Alyssa got to the beach after a long trip.,mc500.train.0.24
It Saturday afternoon Andrew,mc500.train.23.1
He TV all day,mc500.train.23.2
outside the window by the door,mc500.train.23.3
Andrew the window the newspaper the door,mc500.train.23.4
On the front of an elephant,mc500.train.23.5
TV day,mc500.train.23.6
Andrew and his dad the story,mc500.train.23.7
in town,mc500.train.23.8
no,mc500.train.23.9
we Andrew 's dad you your goldfish,mc500.train.23.10
people,mc500.train.23.11
Andrew 's dad I the newspaper,mc500.train.23.12
of fun at the circus,mc500.train.23.13
to the circus,mc500.train.23.14
The elephant a slide,mc500.train.23.15
andrew 's dad i the newspaper,mc500.train.23.16
in the newspaper,mc500.train.23.17
the elephant a slide,mc500.train.23.18
the people and animals at the circus lots of tricks,mc500.train.23.19
he it some peanuts the circus for later,mc500.train.23.20
can said first need to feed your goldfish,mc500.train.23.21
andrew and his dad lots of peanuts,mc500.train.23.22
"Andrew's dad said, ""I think the newspaper is here.",mc500.train.23.23
There weren't any peanuts left to bring home to the goldfish.,mc500.train.23.24
to her back yard,mc500.train.18.1
Kelly one morning her back yard,mc500.train.18.2
woke up one morning and went outside to her back yard,mc500.train.18.3
"She her mom the biggest , most beautiful bunch of flowers her mother had ever seen",mc500.train.18.4
Kelly one morning her back yard,mc500.train.18.5
She a hurry it Mother 's Day she flowers her mom her a present,mc500.train.18.6
in her yard,mc500.train.18.7
After that in a secret spot,mc500.train.18.8
she was in a hurry because it was mother 's day and she had to collect flowers before her mom woke up to give to her as a present .,mc500.train.18.9
She a hurry it Mother 's Day she flowers her mom her a present,mc500.train.18.10
her mother 8:30 AM Kelly excited,mc500.train.18.11
She was in a hurry because it was Mother 's Day and she had to collect flowers before her mom woke up to give to her as a present .,mc500.train.18.12
The red ones big the orange ones small the green ones the middle,mc500.train.18.13
that she the flowers a secret spot,mc500.train.18.14
Her mother 's favorite the red one,mc500.train.18.15
Her mother 's favorite the red one,mc500.train.18.16
kelly all of the flowers she them string,mc500.train.18.17
she a hurry it mother 's day she flowers her mom her a present,mc500.train.18.18
"she her baby sister morgan , who was still in diapers , the flowers them",mc500.train.18.19
"after that , she had to hide the flowers in a secret spot .",mc500.train.18.20
she was in a hurry because it was mother 's day and she had to collect flowers before her mom woke up to give to her as a present .,mc500.train.18.21
"After Kelly collected all of the flowers, she went inside and tied them together with string.",mc500.train.18.22
She was in a hurry because it was Mother's Day and she had to collect flowers before her mom woke up to give to her as a present.,mc500.train.18.23
She was in a hurry because it was Mother's Day and she had to collect flowers before her mom woke up to give to her as a present.,mc500.train.18.24
"Finally, her mother woke up at 8:30 AM, and Kelly was excited!",mc500.train.18.25
"After Kelly collected all of the flowers, she went inside and tied them together with string.",mc500.train.18.26
in a beautiful pond by the river,mc500.train.25.0
in a beautiful pond by the river,mc500.train.25.1
"After that Cindy didn't throw any rocks, and Maxine and Thomas could swim together and take lots of baths.",mc500.train.25.2
Maxine was a happy frog that lived in a beautiful pond by the river.,mc500.train.25.3
HALP,mc500.train.111.0
the store Will a good laugh at a very silly looking dog,mc500.train.111.1
his favorite song,mc500.train.111.2
a biscuit,mc500.train.111.3
in the kitchen,mc500.train.111.4
Will sat and finished his dinner in the kitchen.,mc500.train.111.5
