answer,qid
A Lion watched a fat Bull feeding in a meadow  and his mouth watered when he thought of the royal feast he would make  but he did not dare to attack him  for he was afraid of his sharp horns ,fables-02-10
What a fine head ,fables-02-11
my dear friend  what in the world makes you those ugly horns,fables-02-12
a lion his mouth,fables-02-13
a lion watched a fat bull feeding in a meadow  and his mouth watered when he thought of the royal feast he would make  but he did not dare to attack him  for he was afraid of his sharp horns ,fables-02-14
a lion a fat bull feeding in a meadow his mouth he the royal feast he he him he his sharp horns,fables-02-15
a lion watched a fat bull feeding in a meadow  and his mouth watered when he thought of the royal feast he would make  but he did not dare to attack him  for he was afraid of his sharp horns ,fables-02-16
a lion a fat bull feeding in a meadow his mouth he the royal feast he he him he his sharp horns,fables-02-17
a lion his mouth,fables-02-18
a lion his mouth,fables-02-19
a lion watched a fat bull feeding in a meadow  and his mouth watered when he thought of the royal feast he would make  but he did not dare to attack him  for he was afraid of his sharp horns ,fables-02-20
a lion a fat bull feeding in a meadow his mouth he the royal feast he he him he his sharp horns,fables-02-21
a lion a fat bull feeding in a meadow his mouth he the royal feast he he him he his sharp horns,fables-02-22
a lion his mouth,fables-02-23
a lion a fat bull feeding in a meadow his mouth he the royal feast he he him he his sharp horns,fables-02-24
,fables-02-25
in a meadow of the royal feast of his sharp horns,fables-02-26
the bull friendly fashion he him i i your magnificent figure,fables-02-27
the bull this flattery his horns his only means of defense an easy prey to the lion,fables-02-28
what powerful shoulders thighs,fables-02-29
my dear friend  what in the world makes you those ugly horns,fables-02-30
a lion his mouth,fables-02-31
a lion his mouth,fables-02-32
a lion his mouth,fables-02-33
a lion a fat bull feeding in a meadow his mouth he the royal feast he he him he his sharp horns,fables-02-34
a lion his mouth,fables-02-35
a lion his mouth,fables-02-36
in the sun before a farmyard gate upon him for his life,fables-07-1
The dog some meager meal,fables-07-2
the sun,fables-07-3
Come down  '' he called  `` and be eaten remember our agreement,fables-07-4
the sun before a farmyard gate a Wolf him him his life You I a wretched meal I you you a few days my master a feast,fables-07-5
in the sun before a farmyard gate upon him for his life,fables-07-6
the wolf,fables-07-7
in the sun before a farmyard gate upon him for his life,fables-07-8
The dog begged the wolf to spare the dog ,fables-07-9
a dog,fables-07-10
there a five-limbed insect lurking in the apartment no doubt looking for some vengeance against me,blogs-07-1
I a bugaphobe I the closest object reach a rolled-up comic book I mine enemies their greasy bug guts,blogs-07-2
the closest object within reach mine enemies their greasy bug guts,blogs-07-3
there a five-limbed insect lurking in the apartment no doubt looking for some vengeance against me,blogs-07-4
A narrator the door of the patio of the narrator,blogs-07-5
A narrator the door of the patio of the narrator,blogs-07-6
Since I 'm such a bugaphobe  I grabbed the closest object within reach  and with a rolled-up comic book I smote mine enemies and smeared their greasy bug guts ,blogs-07-7
bug blood,blogs-07-8
around corners before sitting down,blogs-07-9
The narrator the greasy innards of the group of bugs every bug who was n't the big fatty of the group of bugs who was more large than every bug,blogs-07-10
Today the start of the G20 summit,blogs-01-1
Today the start of the G20 summit,blogs-01-2
of people who have different views on how to run the government they follow so they protest,blogs-01-3
there many leaders their a lot of people who have different views on how to run the government they follow so they protest,blogs-01-4
views the,blogs-01-5
There it,blogs-01-6
There a protest that happened along the street where I work it a bunch of people a riot,blogs-01-7
Police cars things,blogs-01-8
Police cars things cops,blogs-01-9
There a protest that happened along the street where I work it a bunch of people a riot,blogs-01-10
things tear gas and bean bag bullets the rioters they windows of stores,blogs-01-11
things tear gas and bean bag bullets the rioters they windows of stores,blogs-01-12
things tear gas and bean bag bullets the rioters they windows of stores,blogs-01-13
tear gas and bean bag bullets,blogs-01-14
the rioters they windows of stores,blogs-01-15
since there are so many leaders coming together their are going to be a lot of people who have different views on how to run the government they follow so they protest ,blogs-01-16
there a protest that happened along the street where i work it a bunch of people a riot,blogs-01-17
police were in full riot gear to alleviate the violence ,blogs-01-18
tear gas and bean bag bullets,blogs-01-19
there it,blogs-01-20
today,blogs-01-21
today,blogs-01-22
police cars things cops,blogs-01-23
the rioters they windows of stores,blogs-01-24
there a protest that happened along the street where i work it a bunch of people a riot,blogs-01-25
was a protest that happened along the street where i work looked peaceful until a bunch of people started rebelling and creating a riot,blogs-01-26
it every year it 20 of the leaders of the world come their governments what,blogs-01-27
it happens every year and it is where 20 of the leaders of the world come together to talk about how to run their governments effectively and what not ,blogs-01-28
happens every year is where 20 of the leaders of the world come together to talk about how to run their governments effectively and what not,blogs-01-29
it it,blogs-01-30
the rioters they windows of stores,blogs-01-31
of people who have different views on how to run the government they follow so they protest,blogs-01-32
police cars things cops,blogs-01-33
there it,blogs-01-34
today the start of the g20 summit,blogs-01-35
there it,blogs-01-36
a fox,fables-04-1
A Fox a Stork dinner  at which the only fare provided was a large flat dish of soup,fables-04-2
to dinner  at which the only fare provided was a large flat dish of soup,fables-04-3
A Fox,fables-04-4
invited a Stork to dinner  at which the only fare provided was a large flat dish of soup,fables-04-5
Thus  while she enjoyed her dinner  the Fox sat by hungry and helpless  for it was impossible for him to reach the tempting contents of the vessel ,fables-04-6
it with great relish in vain of the savoury broth,fables-04-7
Thus  while she enjoyed her dinner  the Fox sat by hungry and helpless  for it was impossible for him to reach the tempting contents of the vessel ,fables-04-8
the fox it great relish the stork with her long bill vain the savoury broth,fables-04-9
the fox the stork with her long bill,fables-04-10
the stork him turn him a pitcher with a long and narrow neck  into which she could get her bill with ease,fables-04-11
A clever fox a stork to dine,fables-04-12
a stork to dinner  at which the only fare provided was a large flat dish of soup,fables-04-13
the fox the stork with her long bill,fables-04-14
the fox the stork with her long bill,fables-04-15
a fox a stork dinner  at which the only fare provided was a large flat dish of soup,fables-04-16
a fox,fables-04-17
it with great relish in vain of the savoury broth,fables-04-18
lapped it up with great relish tried in vain to partake of the savoury broth,fables-04-19
the sly fox much amusement,fables-04-20
a pitcher with a long and narrow neck  into which she could get her bill with ease,fables-04-21
the stork him turn him a pitcher with a long and narrow neck  into which she could get her bill with ease,fables-04-22
her evident distress the sly fox much amusement,fables-04-23
her evident distress the sly fox much amusement,fables-04-24
the fox the stork with her long bill,fables-04-25
a pitcher with a long and narrow neck  into which she could get her bill with ease,fables-04-26
a fox a stork dinner  at which the only fare provided was a large flat dish of soup,fables-04-27
I my underwear round my ankles the class the garment it what earth that,blogs-05-1
at my underwear round my ankles at the class at the garment of it what on earth that,blogs-05-2
round ankles,blogs-05-3
I my underwear round my ankles the class the garment it what earth that,blogs-05-4
The group of students,blogs-05-5
I my underwear round my ankles the class the garment it what earth that,blogs-05-6
i,blogs-05-7
I you one of my most embarassing moments as a teacher to date,blogs-05-8
the offending white -LRB- not red and black thank the Lord -RRB- slip and casually it in the bottom drawer of my desk,blogs-05-9
The narrator the ankle of the narrator,blogs-05-10
The narrator nervously looked toward the ankle of the narrator and observed that the slip had fallen because the elastic of the slip was dysfunctional ,blogs-05-11
one of my most embarassing moments as a teacher to date,blogs-05-12
ten years i a mixed class of 5th graders esl,blogs-05-13
so ahmed  what did you do in school today,blogs-05-14
i,blogs-05-15
one of my most embarassing moments as a teacher to date,blogs-05-16
we the teacher 's underwear,blogs-05-17
at the front of the class not on my face but at my ankles,blogs-05-18
of students and a narrator,blogs-05-19
elastic gone what to do ,blogs-05-20
a farmer,fables-05-1
for the fields for cutting,fables-05-2
It the Farmer,fables-05-3
HALP,fables-05-4
for him upon him of tow to his tail and set fire to it,fables-05-5
A Farmer,fables-05-6
It fire the Farmer all his harvest,fables-05-7
It the Farmer,fables-05-8
it fire the farmer all his harvest,fables-05-9
The fox,fables-05-10
a farmer,fables-05-11
a farmer was greatly annoyed by a fox  which came prowling about his yard at night and carried off his fowls ,fables-05-12
it fire the farmer all his harvest,fables-05-13
a fox  which came prowling about his yard at night and carried off his fowls,fables-05-14
ill-luck it the fox the fields the corn,fables-05-15
the fox,fables-05-16
a farmer a fox  which came prowling about his yard at night and carried off his fowls,fables-05-17
a farmer a fox  which came prowling about his yard at night and carried off his fowls,fables-05-18
a farmer a fox  which came prowling about his yard at night and carried off his fowls,fables-05-19
for the fields for cutting,fables-05-20
ill-luck it the fox the fields the corn,fables-05-21
The fox,fables-05-22
he he him,fables-05-23
a trap him him a bunch of tow his tail and set fire to it him,fables-05-24
a farmer a fox  which came prowling about his yard at night and carried off his fowls,fables-05-25
years man,blogs-02-1
of the young man on the front yard of a narrator of the young man,blogs-02-2
i help,blogs-02-3
The young man died on the spot of the yard of the narrator ,blogs-02-4
of the young man on the front yard of a narrator of the young man,blogs-02-5
A young man the motorbike of the young man the front yard of a narrator the neck of the young man,blogs-02-6
it my brother playing around with his new flashlight all like it  but the closest thing I could imagine I the house everyone,blogs-02-7
years man,blogs-02-8
a young man,blogs-02-9
a young man,blogs-02-10
A young man the motorbike of the young man the front yard of a narrator the neck of the young man,blogs-02-11
I this I this ball of light the trees above me,blogs-02-12
a few years a young man my front lawn he his motorbike,blogs-02-13
of the young man on the front yard of a narrator of the young man,blogs-02-14
a young man,blogs-02-15
The young man,blogs-02-16
on my front lawn he his motorbike,blogs-02-17
my front lawn he his motorbike,blogs-02-18
my logical mind,blogs-02-19
i him his last moments there nothing i could do because he was badly injured with a broken neck,blogs-02-20
i was with him in his last moments but there was nothing i could do because he was badly injured with a broken neck ,blogs-02-21
i him his last moments there nothing i could do because he was badly injured with a broken neck,blogs-02-22
later  when i was visiting the place where he died  i decided to talk to him as if he were still there because i wanted him to know how bad i felt that i couldnt help him ,blogs-02-23
The young man the spot of the yard of the narrator,blogs-02-24
my logical mind it my brother playing around with his new flashlight all like it  but the closest thing i could imagine i the house everyone,blogs-02-25
a young man,blogs-02-26
i there,blogs-02-27
a young man,blogs-02-28
The bowl,blogs-04-1
We,blogs-04-2
We a large stainless steel bowl of water the back deck for Benjamin to drink out of when he 's playing outside,blogs-04-3
of it in it,blogs-04-4
squirrels,blogs-04-5
i a,blogs-04-6
This one of those times I wish I had a digital camera,blogs-04-7
those times,blogs-04-8
on the deck 's railing in order for the birds to wait,blogs-04-9
of water outside on the back deck for benjamin to drink out of when he 's playing outside,blogs-04-10
by in fright at what i believe was his own reflection in the bowl,blogs-04-11
we keep a large stainless steel bowl of water outside on the back deck for benjamin to drink out of when he 's playing outside ,blogs-04-12
throughout the day  many birds drink out of it and bathe in it ,blogs-04-13
we a large stainless steel bowl of water the back deck for benjamin to drink out of when he 's playing outside,blogs-04-14
throughout the day of it in it,blogs-04-15
we a large stainless steel bowl of water the back deck for benjamin to drink out of when he 's playing outside,blogs-04-16
his bowl a very popular site,blogs-04-17
this,blogs-04-18
a moment or two his paw he a few feet,blogs-04-19
of water outside on the back deck for benjamin to drink out of when he 's playing outside,blogs-04-20
the craziest squirrel just came by - he was literally jumping in fright at what i believe was his own reflection in the bowl ,blogs-04-21
a countryman,fables-03-1
An Eagle,fables-03-2
upon a Serpent it in his talons with the intention of carrying it off and devouring it,fables-03-3
a countryman,fables-03-4
An Eagle a Serpent it his talons the intention of carrying it off and devouring it,fables-03-5
In revenge the Serpent spat some of his poison into the man 's drinking-horn,fables-03-6
A countryman  who was a witness of the encounter  the assistance of the Eagle him the Serpent him,fables-03-7
the man,fables-03-8
his exertions the man his thirst a draught the horn  when the Eagle knocked it out of his hand  and spilled its contents upon the ground,fables-03-9
with his exertions with a draught from the horn  when the Eagle knocked it out of his hand  and spilled its contents upon the ground,fables-03-10
An Eagle a Serpent it his talons the intention of carrying it off and devouring it,fables-03-11
the Serpent spat some of his poison into the man 's drinking-horn,fables-03-12
an eagle,fables-03-13
the serpent,fables-03-14
the assistance of the eagle him the serpent him,fables-03-15
a countryman  who was a witness of the encounter ,fables-03-16
a countryman  who was a witness of the encounter  the assistance of the eagle him the serpent him,fables-03-17
a countryman  who was a witness of the encounter ,fables-03-18
to the assistance of the eagle in freeing him from the serpent and enabling him to escape,fables-03-19
revenge the serpent spat some of his poison into the man 's drinking-horn,fables-03-20
the man,fables-03-21
an eagle,fables-03-22
an eagle,fables-03-23
upon a serpent it in his talons with the intention of carrying it off and devouring it,fables-03-24
an eagle,fables-03-25
an eagle,fables-03-26
upon a serpent in his talons with the intention of carrying it off and devouring it,fables-03-27
a countryman  who was a witness of the encounter ,fables-03-28
the serpent,fables-03-29
an eagle,fables-03-30
the man,fables-03-31
an eagle a serpent it his talons the intention of carrying it off and devouring it,fables-03-32
a countryman  who was a witness of the encounter ,fables-03-33
an eagle,fables-03-34
upon a serpent it in his talons with the intention of carrying it off and devouring it,fables-03-35
an eagle,fables-03-36
a countryman  who was a witness of the encounter ,fables-03-37
in a beautiful pond by the river,mc500.train.25.0
in a beautiful pond by the river,mc500.train.25.1
her friends martin  edgar  and cindy baths,mc500.train.25.2
her friends,mc500.train.25.3
She the water a bath every day,mc500.train.25.4
loved to play in the water and take a bath every day,mc500.train.25.5
in the water,mc500.train.25.6
maxine was a happy frog that lived in a beautiful pond by the river ,mc500.train.25.7
S,mc500.train.25.8
that cindy,mc500.train.25.9
Maxine 's dad what he,mc500.train.25.10
a happy frog that lived in a beautiful pond by the river,mc500.train.25.11
H,mc500.train.25.12
cindy,mc500.train.25.13
one day maxine and thomas cindy something mean,mc500.train.25.14
martin  edgar  and cindy,mc500.train.25.15
loved to take lots of baths became friends with Maxine,mc500.train.25.16
did n't like to take baths,mc500.train.25.17
maxine a happy frog that lived in a beautiful pond by the river,mc500.train.25.18
her friends,mc500.train.25.19
a happy frog that lived in a beautiful pond by the river,mc500.train.25.20
HALP,mc500.train.111.0
a good laugh at a very silly looking dog,mc500.train.111.1
it thunder,mc500.train.111.2
a biscuit,mc500.train.111.3
over to the living room,mc500.train.111.4
in the night sky,mc500.train.111.5
his way there he a napkin the trashcan,mc500.train.111.6
On his way in the trashcan,mc500.train.111.7
Will was playing his favorite song,mc500.train.111.8
Will was playing his favorite song,mc500.train.111.9
Will was playing his favorite song,mc500.train.111.10
in the night sky,mc500.train.111.11
his favorite song,mc500.train.111.12
a biscuit,mc500.train.111.13
walked all the way to the store,mc500.train.111.14
he chicken  gravy  or butter his biscuit,mc500.train.111.15
will was playing his favorite song ,mc500.train.111.16
his favorite song,mc500.train.111.17
She went to Miami to visit some friends ,mc500.train.0.1
Ellen a salad,mc500.train.0.2
kristin,mc500.train.0.3
from Atlanta,mc500.train.0.4
It a happy time for everyone,mc500.train.0.5
They stayed the night because they were tired ,mc500.train.0.6
the girls,mc500.train.0.7
alyssa,mc500.train.0.8
Alyssa the restaurant 's special,mc500.train.0.9
Alyssa her friends Kristin and Rachel Ellen 's house,mc500.train.0.10
to a restaurant for dinner,mc500.train.0.11
at Ellen 's house,mc500.train.0.12
ellen alyssa and they some lemonade to drink,mc500.train.0.13
went to a restaurant for dinner,mc500.train.0.14
yes,mc500.train.0.15
yes,mc500.train.0.16
to visit some friends,mc500.train.0.17
alyssa the beach a long trip,mc500.train.0.18
to the beach after a long trip,mc500.train.0.19
Ellen 's house to have fun,mc500.train.0.20
alyssa,mc500.train.0.21
after eating  the ladies went back to ellen 's house to have fun ,mc500.train.0.22
in Miami,mc500.train.0.23
at Ellen 's house,mc500.train.0.24
It Saturday afternoon Andrew,mc500.train.23.1
He TV all day,mc500.train.23.2
outside the window by the door,mc500.train.23.3
Andrew the window the newspaper the door,mc500.train.23.4
On the front of an elephant,mc500.train.23.5
TV all day,mc500.train.23.6
Andrew and his dad the story,mc500.train.23.7
in town,mc500.train.23.8
no,mc500.train.23.9
we Andrew 's dad you your goldfish,mc500.train.23.10
the people,mc500.train.23.11
Andrew and his dad lots of peanuts,mc500.train.23.12
to the circus,mc500.train.23.13
to the circus,mc500.train.23.14
a slide,mc500.train.23.15
andrew 's dad i the newspaper,mc500.train.23.16
in the newspaper,mc500.train.23.17
the elephant,mc500.train.23.18
the people and animals at the circus lots of tricks,mc500.train.23.19
he it some peanuts the circus for later,mc500.train.23.20
can said need to feed your goldfish,mc500.train.23.21
andrew and his dad,mc500.train.23.22
it saturday afternoon andrew,mc500.train.23.23
there were n't any peanuts left to bring home to the goldfish ,mc500.train.23.24
to her back yard,mc500.train.18.1
Kelly one morning her back yard,mc500.train.18.2
woke up one morning and went outside to her back yard,mc500.train.18.3
She her mom the biggest  most beautiful bunch of flowers her mother had ever seen,mc500.train.18.4
She a lot of different sized flowers,mc500.train.18.5
She a hurry it Mother 's Day she flowers her mom her a present,mc500.train.18.6
in her yard,mc500.train.18.7
After that in a secret spot,mc500.train.18.8
she was in a hurry because it was mother 's day and she had to collect flowers before her mom woke up to give to her as a present ,mc500.train.18.9
She a hurry it Mother 's Day she flowers her mom her a present,mc500.train.18.10
her mother 8:30 AM Kelly excited,mc500.train.18.11
She was in a hurry because it was Mother 's Day and she had to collect flowers before her mom woke up to give to her as a present ,mc500.train.18.12
The red ones the orange ones the green ones the middle,mc500.train.18.13
that she the flowers a secret spot,mc500.train.18.14
the red one,mc500.train.18.15
Her mother 's favorite the red one,mc500.train.18.16
kelly all of the flowers she them string,mc500.train.18.17
she a hurry it mother 's day she flowers her mom her a present,mc500.train.18.18
she her baby sister morgan  who was still in diapers  the flowers them,mc500.train.18.19
after that  she had to hide the flowers in a secret spot ,mc500.train.18.20
she was in a hurry because it was mother 's day and she had to collect flowers before her mom woke up to give to her as a present ,mc500.train.18.21
kelly all of the flowers she them string,mc500.train.18.22
in diapers,mc500.train.18.23
a hurry it mother 's day flowers her mom her a present,mc500.train.18.24
in a hurry to her as a present,mc500.train.18.25
to hide the flowers in a secret spot,mc500.train.18.26
